module,unit,word,part_of_speech,chinese_meaning,textbook_example,speaking_example
Unit 5,Understanding ideas,responsibility,n.,责任,Not my responsibility!,Feeding the dog is my responsibility.
Unit 5,Understanding ideas,cause,n.,"原因，起因",You can also consider causes and effects within the story.,What was the cause of the fire?
Unit 5,Understanding ideas（Grammar）,belt,n.,"腰带，皮带",People wear seat belts in cars.,This belt is too tight for me.
Unit 5,Understanding ideas（Grammar）,seat belt,短语,安全带,People wear seat belts in cars to stay safe on the road.,Put on your seat belt before we start.
Unit 5,Understanding ideas（Grammar）,station,n.,车站,Sally arrived at the train station before 6:00 am.,I'll meet you at the bus station.
Unit 5,Understanding ideas（Grammar）,flowerpot,n.,花盆,I found my favourite flowerpot broken.,There's a green flowerpot on the balcony.
Unit 5,Understanding ideas（Grammar）,pick up,短语,捡起,I picked up the pieces to clean up the mess.,Please pick up the paper on the floor.
Unit 5,Understanding ideas（Grammar）,mess,n.,脏乱；凌乱,I picked up the pieces to clean up the mess.,What a mess your desk is!
Unit 5,Understanding ideas（Grammar）,honesty,n.,"诚实，正直；坦诚",His honesty made me respect him.,Honesty is the best policy.
Unit 5,Understanding ideas（Grammar）,spread,v.,传播,I'm sharing my story to spread some happiness.,Good news spreads fast.
Unit 5,Developing ideas（听说）,law,n.,"法则，法令",Should traffic laws be changed?,Everyone must obey the law.
Unit 5,Developing ideas（听说）,lawyer,n.,律师,Zhang Xinyan is a lawyer.,My aunt works as a lawyer.
Unit 5,Developing ideas（听说）,urgent,adj.,"紧急的，急迫的","In some urgent situations, it might be okay to break certain rules.",I have an urgent message for you.
Unit 5,Reading for writing,citizen,n.,公民；市民，城镇居民,"There are so many netizens, that is, citizens on the internet!",Every citizen should follow the rules.
Unit 5,Reading for writing,click,n.,点击（鼠标）,We can get in touch with anyone with just one click.,You can order food with one click.
Unit 5,Reading for writing,basic,adj.,"基础的，基本的，根本的",Here are the basic rules you need to know to stay safe online.,I only know some basic English words.
Unit 5,Reading for writing,personal,adj.,"个人的，私人的",Avoid posting personal information online.,Don't share your personal information with strangers.
Unit 5,Reading for writing,private,adj.,"个人的，秘密的",Keep personal information private.,This is my private diary—please don't read it.
Unit 5,Reading for writing,avoid,v.,避免,Avoid posting personal information online.,Avoid drinking cola late at night.
Unit 5,Reading for writing,address,n.,地址,"This includes your full name, phone number, address, ID or passport number.",What's your home address?
Unit 5,Reading for writing,passport,n.,护照,Never post your ID or passport number online.,You need a passport to travel abroad.
Unit 5,Reading for writing,limit,v.,"限制，限定","However, limit who sees it.",You should limit your screen time to one hour.
Unit 5,Reading for writing,careless,adj.,"不小心的，粗心的，疏忽的",Change it often and don't be careless.,A careless mistake cost me five points.
Unit 5,Reading for writing,aware,adj.,"注意到的，察觉到的",Be aware of strangers.,Be aware of the wet floor!
Unit 5,Reading for writing,cheat,v.,"欺诈，欺骗",Never meet online strangers in real life. They may cheat you.,It's wrong to cheat in exams.
Unit 5,Reading for writing,trust,v.,"信任，信赖，相信",Only spend time online with trusted friends.,I trust my best friend completely.
Unit 5,Reading for writing,enemy,n.,敌人,Words sometimes hurt people and you can make enemies.,Don't make enemies over small things.
Unit 5,Reading for writing,behave,v.,表现,Remember that behaving badly online has costs.,The kids behaved well at the party.
Unit 5,Reading for writing,cyberbullying,n.,网络霸凌（欺凌）,People sometimes say bad things to other people online. This is cyberbullying.,We should say no to cyberbullying.
Unit 6,Understanding ideas,lost,adj.,不复存在的；不再拥有的,A lost city (课文标题),Pompeii is a famous lost city in Italy.
Unit 6,Understanding ideas,ground,n.,地，地面,I was sleeping when the ground shook very hard.,The ground is wet after the rain.
Unit 6,Understanding ideas,scared,adj.,害怕的，恐惧的,My mother was so scared.,I was scared when the lights suddenly went out.
Unit 6,Understanding ideas,shut,v.,（使）关（合）上，（使）关闭,She didn't shut her eyes for even one second.,Please shut the door — it's cold outside.
Unit 6,Understanding ideas,shocking,adj.,惊人的，骇人的，令人难以置信的,"Just then, shocking things happened.",The news about the flood was really shocking.
Unit 6,Understanding ideas,coach,n.,公共马车，四轮大马车,Our coach couldn't go straight ahead.,"In old times, people travelled by coach."
Unit 6,Understanding ideas,straight,adv.,笔直地，成直线地,Our coach couldn't go straight ahead.,Go straight and you'll see the school gate.
Unit 6,Understanding ideas,sand,n.,沙滩,Many sea animals were left on the sand.,The kids love playing on the sand at the beach.
Unit 6,Understanding ideas,flood,n.,洪水，水灾,The cloud was spreading over the land like a flood.,The heavy rain caused a flood in the town.
Unit 6,Understanding ideas,thick,adj.,浓密的；混浊的,The air was thick with smoke.,The fog was so thick that I couldn't see the road.
Unit 6,Understanding ideas,smoke,n.,（燃烧产生的）烟,The air was thick with smoke and ash began to fall.,I smelled smoke and called 119 at once.
